pair_id,example_id,model,question,answer,claim_text,matched_sentence_text,predicted_citation_doc_ids,correct
29,4,llama-3.1-8b,Who plays snowman in smokey and the bandit?,"Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].","Jerry Reed played the role of Cledus ""Snowman"" Snow.","Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].",doc2,1
30,4,llama-3.1-8b,Who plays snowman in smokey and the bandit?,"Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].","Cledus ""Snowman"" Snow is the truck-driving partner of Bo ""Bandit"" Darville.","Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].",doc2,1
31,4,llama-3.1-8b,Who plays snowman in smokey and the bandit?,"Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].","Bo ""Bandit"" Darville was played by Burt Reynolds.","Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].",doc2,1
32,4,llama-3.1-8b,Who plays snowman in smokey and the bandit?,"Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].","Jerry Reed appeared in the film ""Smokey and the Bandit"" (1977).","Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].",doc2,1
33,4,llama-3.1-8b,Who plays snowman in smokey and the bandit?,"Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].","Jerry Reed appeared in the film ""Smokey and the Bandit II"" (1980).","Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].",doc2,1
34,4,llama-3.1-8b,Who plays snowman in smokey and the bandit?,"Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].","Jerry Reed appeared in the film ""Smokey and the Bandit Part 3"" (1983).","Jerry Reed played the role of Cledus ""Snowman"" Snow, the truck-driving partner of Bo ""Bandit"" Darville (Burt Reynolds) in the films ""Smokey and the Bandit"" (1977), ""Smokey and the Bandit II"" (1980), and ""Smokey and the Bandit Part 3"" (1983) [2].",doc2,1
35,5,qwen3-8b,When does the champions league group stage start?,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",The UEFA Champions League group stage typically begins in late September.,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. ",,1
36,5,qwen3-8b,When does the champions league group stage start?,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",The exact start date varies each season.,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. ",,1
37,5,qwen3-8b,When does the champions league group stage start?,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",The 2017–18 group stage started on 12 September 2017.,"For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. ","doc3,doc1",
38,5,qwen3-8b,When does the champions league group stage start?,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",The 2013–14 group stage began on 17 September 2013.,"For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. ","doc3,doc1",
39,5,qwen3-8b,When does the champions league group stage start?,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",The 2000–01 tournament started on 12 September.,"Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. ","doc4,doc2",
40,5,qwen3-8b,When does the champions league group stage start?,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",The 2009–10 tournament started on 15 September.,"Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. ","doc4,doc2",
41,5,qwen3-8b,When does the champions league group stage start?,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",The draw for each group stage is usually held in mid-August.,"The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",,1
42,5,qwen3-8b,When does the champions league group stage start?,"The UEFA Champions League group stage typically begins in late September, with the exact date varying each season. For example, the 2017–18 group stage started on **12 September 2017** [3], while the 2013–14 group stage began on **17 September 2013** [1]. Earlier seasons, such as the 2000–01 and 2009–10 tournaments, started on **12 September** and **15 September**, respectively [4][2]. The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",The UEFA schedule determines the start date.,"The draw for each group stage is usually held in mid-August, and the start date is determined by the UEFA schedule.",,1
43,6,gemma-4-e4b,Who developed a useful staining method to identify bacteria?,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. This technique was designed to make bacteria more visible under a microscope, allowing them to be classified based on their cell wall structure [2][4].",The Gram stain is a staining method used to identify bacteria.,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. ","doc1,doc3,doc5",1
44,6,gemma-4-e4b,Who developed a useful staining method to identify bacteria?,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. This technique was designed to make bacteria more visible under a microscope, allowing them to be classified based on their cell wall structure [2][4].",The Gram stain is a useful method.,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. ","doc1,doc3,doc5",1
45,6,gemma-4-e4b,Who developed a useful staining method to identify bacteria?,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. This technique was designed to make bacteria more visible under a microscope, allowing them to be classified based on their cell wall structure [2][4].",Hans Christian Gram developed the Gram stain.,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. ","doc1,doc3,doc5",1
46,6,gemma-4-e4b,Who developed a useful staining method to identify bacteria?,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. This technique was designed to make bacteria more visible under a microscope, allowing them to be classified based on their cell wall structure [2][4].",Hans Christian Gram was a Danish scientist.,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. ","doc1,doc3,doc5",1
47,6,gemma-4-e4b,Who developed a useful staining method to identify bacteria?,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. This technique was designed to make bacteria more visible under a microscope, allowing them to be classified based on their cell wall structure [2][4].",The Gram stain was developed in 1884.,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. ","doc1,doc3,doc5",1
48,6,gemma-4-e4b,Who developed a useful staining method to identify bacteria?,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. This technique was designed to make bacteria more visible under a microscope, allowing them to be classified based on their cell wall structure [2][4].",The technique was designed to make bacteria more visible under a microscope.,"This technique was designed to make bacteria more visible under a microscope, allowing them to be classified based on their cell wall structure [2][4].","doc2,doc4",1
49,6,gemma-4-e4b,Who developed a useful staining method to identify bacteria?,"The useful staining method used to identify bacteria, known as the Gram stain, was developed by the Danish scientist Hans Christian Gram in 1884 [1][3][5]. This technique was designed to make bacteria more visible under a microscope, allowing them to be classified based on their cell wall structure [2][4].",The technique allows bacteria to be classified based on their cell wall structure.,"This technique was designed to make bacteria more visible under a microscope, allowing them to be classified based on their cell wall structure [2][4].","doc2,doc4",1
50,7,llama-3.1-8b,What is the solid part of earth called?,"The solid part of the Earth is referred to as the lithosphere, which includes the outer silicate solid crust and the highly viscous asthenosphere and mantle [1][2][3]. The inner part of the solid Earth is specifically referred to as the inner core, which is a solid, iron-nickel alloy at the center of the Earth [4].",The solid part of the Earth is referred to as the lithosphere.,"The solid part of the Earth is referred to as the lithosphere, which includes the outer silicate solid crust and the highly viscous asthenosphere and mantle [1][2][3]. ","doc1,doc2,doc3",1
51,7,llama-3.1-8b,What is the solid part of earth called?,"The solid part of the Earth is referred to as the lithosphere, which includes the outer silicate solid crust and the highly viscous asthenosphere and mantle [1][2][3]. The inner part of the solid Earth is specifically referred to as the inner core, which is a solid, iron-nickel alloy at the center of the Earth [4].",The lithosphere includes the outer silicate solid crust.,"The solid part of the Earth is referred to as the lithosphere, which includes the outer silicate solid crust and the highly viscous asthenosphere and mantle [1][2][3]. ","doc1,doc2,doc3",1
