pair_id,claim,doc_id,doc_title,doc_text_truncated,human_label
10,The Straits of Mackinac is a wide passage.,5567144,Treaty of Detroit,"the Maumee River at Toledo, Ohio. From there the boundary ran up the middle of the river to the mouth of its tributary Auglaize River at what is now Defiance, Ohio, then due north until it intersected a parallel of latitude at the outlet of Lake Huron into the St. Clair River. This north-south line ",UNCLEAR
11,Mark Fergus and Hawk Ostby serve as showrunners for The Expanse.,18623092,The Expanse (novel series),"more novellas. The series was adapted for television by the Syfy Network, also under the title of ""The Expanse"". The series premiered on streaming services on November 23, 2015 and on Syfy on December 14, 2015. Syfy did not renew ""The Expanse"" for a fourth season, but on May 26, 2018, Jeff Bezos ann",UNCLEAR
12,Brazil won the World Cup in 1994.,18181117,History of the Brazil national football team,"in the World Cup again. Nonetheless, he returned in 1970. Brazil won its third World Cup in Mexico, with the 1970 World Cup. It fielded what has since then often been considered the best football squad ever, led by Pelé in his last World Cup finals, captain Carlos Alberto Torres, Jairzinho, Tostão, ",UNCLEAR
13,Some slaves were freed earlier than 1799.,2697840,Province of New York,"Heights, and brought it to New York City in 1776, correctly anticipating the British would return there. The Fourth Provincial Congress convened in White Plains on July 9, 1776, and became known as the First Constitutional Convention. New York endorsed the Declaration of Independence the same day, a",UNCLEAR
14,The question seems to be asking about a different Sam.,19589834,Dylan Keogh,"it was highly unlikely Sam and Dylan's marriage would work out, explaining ""if I say that we were married in Vegas, that gives you some idea of the longevity of the relationship"". Beck also joked that Dylan had a stronger relationship with his dog Dervla than with Sam. Salt hoped that viewers were s",UNCLEAR
15,Venkaiah Naidu succeeded Mohammad Hamid Ansari.,18232291,2007 Indian vice-presidential election,"2007 Indian vice-presidential election The 2007 Indian vice-presidential election was held on 10 August 2007 to elect Vice-President of India to serve from 2007 until 2012. Mohammad Hamid Ansari from Indian National Congress was elected for the post. The incumbent, Bhairon Singh Shekhawat did not se",UNCLEAR
16,"The average annual salary for physicians in the United States is around $276,000.",198472,Iowa State University,"(1998–2003), Iowa State achieved even greater success. Floyd took the Cyclones to the Sweet Sixteen in 1997 and Eustachy led ISU to two consecutive Big 12 regular season conference titles in 1999-2000 and 2000–01, plus the conference tournament title in 2000. Seeded No. 2 in the 2000 NCAA tournament",UNCLEAR
17,Griffin the Invisible Man is one of the supporting character monsters who checks into Hotel Transylvania.,5291383,Griffin (The Invisible Man),"checks into Hotel Transylvania, and is among Count Dracula's (Adam Sandler) circle of friends. This version is completely invisible, and his glasses are the only thing that can be seen in the movie. Gags centering on him, rely on his invisibility. During a pool party scene, Wayne the werewolf (Steve",SUPPORTED
18,The Lab's final score was 97.5.,20741195,World of Dance (season 2),"This season by Les Twins, Keone & Mari (actually Mariel) Madrid, Kinjaz and Derek Hough. In preparation for season two, handpicked competitors, being talented in any styles of dancing, from qualifying events around the nation and thousands of online submissions, are divided into four divisions: Juni",UNCLEAR
19,The authorship of the Book of 1 Thessalonians is debated.,391663,Second Epistle to the Thessalonians,"the problem is due to the composite nature of ""First Thessalonians"" (Murphy-O'Connor is only one of many scholars who argue that the current text of ""Second Thessalonians"" is the product of merging two or more authentic letters of Paul). Once the text of this interpolated letter is removed and the t",UNCLEAR
20,The New York Foundling Hospital was redeveloped as the Trump Palace Condominiums.,12026808,Trump Palace Condominiums,"Trump Palace Condominiums Trump Palace Condominiums is a tall skyscraper at 200 East 69th Street in New York City, New York. It was completed in 1991 and has 54 floors. Frank Williams and Associates, headed by architect Frank Williams designed the building, which is the 70th tallest in New York City",SUPPORTED
21,Sirius Black was a significant character in the Harry Potter series.,1884041,Order of the Phoenix (fictional organisation),"Forbidden Forest and sacrifice his life to Voldemort. Later, it is revealed that Harry named his first child James Sirius Potter, after his father James and his godfather Sirius. Sirius was portrayed by Gary Oldman in the film adaptations of ""Prisoner of Azkaban"", ""Goblet of Fire"", ""Order of the Pho",UNCLEAR
22,"The song ""I'm Coming Out"" was written by Bernard Edwards.",5753933,I'm Coming Out,"I'm Coming Out ""I'm Coming Out"" is a song recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980). In 1979, Ross commissioned Chic foun",SUPPORTED
23,The Shema portions are mentioned in the Mishnah.,8286394,Va'etchanan,"to form the core of ""K'riat Shema"", recited in the evening (""Ma'ariv"") and morning (""Shacharit"") prayer services. A shorter version of the ""Shema"", composed of simply appears in the Torah service (""Seder K'riat HaTorah"") and the ""Kedushah"" of the Musaf service for Shabbat. And the ""Shema"" and for so",UNCLEAR
24,Ellen Pompeo announced that she would be directing several episodes in the 14th season.,20161240,Grey's Anatomy (season 14),"a 14th season on February 10, 2017. It premiered on September 28, 2017, with a two-hour premiere. Ellen Pompeo announced that she would be directing several episodes in the 14th season. On April 28, 2017, veteran writer Krista Vernoff announced that she would return to the show as a writer after lea",SUPPORTED
25,Alam Channa was recorded by Guinness World Records as the tallest living human on earth.,11952544,The Tallest Man on Earth,"discovered open tunings while listening to Nick Drake in his early twenties. He was drawn to this style of playing because it allowed him to focus on singing while still performing intricate music. The Tallest Man on Earth Kristian Matsson (born 30 April 1983) is a singer-songwriter from Dalarna, Sw",UNCLEAR
26,Some scholars doubt the authenticity of 2 Thessalonians based on its composite nature.,327782,Paul the Apostle,"while the authorship of the other two is subject to debate. Colossians and 2 Thessalonians are possibly ""Deutero-Pauline"" meaning they may have been written by Paul's followers after his death. Similarly, 1 Timothy, 2 Timothy, and Titus may be ""Trito-Pauline"" meaning they may have been written by me",SUPPORTED
27,The search results do not have any information on upcoming episodes of Attack on Titan.,15608132,Attack on Titan,"series, released on December 9, 2014 and April 9, 2015, respectively. The anime previously aired on Adult Swim's Toonami block. In Australia, the anime aired on SBS 2 on Tuesdays, in Japanese with English subtitles, with the first episode having aired on September 30. The anime was compiled into two",UNCLEAR
28,The material allows the shield to be virtually indestructible under normal conditions.,6888031,Captain America's shield,"was created by the team of writer-artist Joe Simon and artist Jack Kirby. Captain America's shield is virtually indestructible under normal conditions. While cosmic and magical or godly opponents have broken the shield, the shield proves strong enough to absorb Hulk's strength, and repel an attack f",SUPPORTED
29,The Commission for Scheduled Castes and Scheduled Tribes was divided into two commissions in 2003.,4670648,Scheduled Castes and Scheduled Tribes,"SCs and STs. Now it is included in Article 342. In 1990, Article 338 was amended for the National Commission for SCs and STs with the ""Constitution (Sixty fifth Amendment) Bill, 1990"". The first commission under the 65th Amendment was constituted in March 1992, replacing the Commissioner for Schedul",SUPPORTED
30,The most recent estimates suggest a population of around 25.5 million people in North Korea as of 2020 [1].,17760137,Kim dynasty (North Korea),"came to lead the Soviet-backed North's provisional government, becoming the first premier of its new government, the Democratic People's Republic of Korea (commonly known as North Korea), in 1948. He started the Korean War in 1950 with hopes to reunify the region. Kim developed a personality cult th",UNCLEAR
31,Mahendra Singh Dhoni was the captain of India in 2011.,2831577,Cricket in India,"beaten by Australia. In September 2007, India won the first ever Twenty20 World Cup held in South Africa, beating Pakistan by 5 runs in a thrilling final. India won the Cricket World Cup in 2011 under the captainship of Mahendra Singh Dhoni, the first time since 1983 – they beat Sri Lanka in the fin",SUPPORTED
32,"The two countries exchanged ratifications of the treaty on May 30, 1848.",1430670,Treaty of Guadalupe Hidalgo,"in recent decades the IBWC has been heavily criticized as an institutional anachronism, by-passed by modern social, environmental and political issues. Treaty of Guadalupe Hidalgo The Treaty of Guadalupe Hidalgo (""Tratado de Guadalupe Hidalgo"" in Spanish), officially titled the Treaty of Peace, Frie",UNCLEAR
33,"The song Forever and Ever Amen has sold 966,000 digital copies.",10867273,"Forever and Ever, Amen","solo single to earn an RIAA certification. The song has also sold 966,000 digital copies since it became available for download. Forever and Ever, Amen ""Forever and Ever, Amen"" is a song written by Paul Overstreet and Don Schlitz, and recorded by American country music artist Randy Travis. It was re",SUPPORTED
34,This is a rhetorical device.,18363496,The Elements of Eloquence,"when the more natural wording would be ""Stone walls do not make a prison"", adding that in any case the statement is ""factually incorrect"". Repetition of the last word of a preceding clause. Forsyth give this example: A sentence that is not complete grammatically before the final clause or phrase, su",UNCLEAR
35,The first Teenage Mutant Ninja Turtles cartoon is also known as TMNT 1987.,4542352,Teenage Mutant Ninja Turtles (2003 TV series),"Teenage Mutant Ninja Turtles (2003 TV series) Teenage Mutant Ninja Turtles (also known as Teenage Mutant Ninja Turtles: The Animated Series) is an American animated television series, based on the fictional superhero team of the same name. The series is a first reboot of the Teenage Mutant Ninja Tur",UNCLEAR
36,Bobby Douglass has 968 rushing yards in a season.,3332094,Randall Cunningham,"sacks, and (1st) Brett Favre with 525 sacks. Cunningham also rushed for 4,928 yards on 775 carries and 35 touchdowns. He retired after the 2001 season as the NFL's all-time leader in rushing yards and carries for the quarterback position, (a record broken in 2011 by Michael Vick), and tied for fourt",UNCLEAR
37,Marion Raven has been married once.,14098290,Amber Moore,"(Ashley Lyn Cafagna) for Rick's affections, Amber ended up becoming pregnant. For a small amount of time, it was unknown if the child was Rick's or that of a black singer named Raymond King (Usher), whom she had dated briefly. Amber married Rick despite this, and she delivered the stillborn Eric For",UNCLEAR
38,The A3 road includes sections with a 50 mph speed limit.,7858559,M2 Hills Motorway,"result, and by some motorists who have said that the addition of a third lane will induce more traffic and would only shift the bottleneck further down the motorway as a result of assisting and maintaining free-flowing traffic from the Lane Cove Tunnel. A speed camera to enforce the 70 km/h limit wa",UNCLEAR
39,Zeb Khan has no connection to the characters in the film.,816380,How the West Was Won (film),"lieutenant in the U.S. cavalry, trying to maintain peace with the Indians with the help of grizzled buffalo hunter Jethro Stuart (Fonda), an old friend of Linus'. When ruthless railroad man Mike King (Widmark) violates a treaty by building on Indian territory, the Arapahos retaliate by stampeding bu",UNCLEAR
40,The Boston Red Sox set a franchise record for most games won in a season in 1912.,10552673,1949 Boston Red Sox season,1949 Boston Red Sox season The 1949 Boston Red Sox season was the 49th season in the franchise's Major League Baseball history. The Red Sox finished second in the American League (AL) with a record of 96 wins and 58 losses. The Red Sox set a major league record which still stands for the most base o,UNCLEAR
41,Tom Brady broke his tie with Terry Bradshaw.,17562985,Active NFL head coach career Super Bowl history,"Active NFL head coach career Super Bowl history There are 32 head coaches in the National Football League (NFL) for the 32 respective teams. Twenty-one of the current head coaches have won at least one Super Bowl as either a head coach, assistant coach, or as a player throughout their career in the ",UNCLEAR
42,"The 2013–14 UEFA Champions League group stage started on September 17, 2013.",20210634,2017–18 UEFA Champions League group stage,by UEFA (local times are in parentheses). 2017–18 UEFA Champions League group stage The 2017–18 UEFA Champions League group stage began on 12 September and ended on 6 December 2017. A total of 32 teams competed in the group stage to decide the 16 places in the knockout phase of the 2017–18 UEFA Cham,UNCLEAR
43,The first concert was later rescheduled for July 13.,13657281,Michael Jackson's This Is It,"2009, it was announced that the first concert would be pushed back by eight days to July 16, and three other July dates would be rescheduled for March 2010. AEG Live stated that the delay was necessary because more time was needed to prepare, mainly for dress rehearsals. The revised schedule called ",REFUTED
44,The Speaker of the California State Assembly is currently Democrat Anthony Rendon.,2667888,California State Assembly,"the State Assembly in the chief leadership position, controlling the flow of legislation and committee assignments. The Speaker is elected by the majority party caucus, followed by confirmation of the full assembly. Other leaders, such as the majority and minority leaders, are elected by their respe",SUPPORTED
45,Minnehaha Park is a city park in Minneapolis.,6997040,Minnehaha Academy,"Minnehaha Academy Minnehaha Academy (often abbreviated MA) is a Christian private school in Minneapolis, Minnesota, United States, for students in preschool through 12th grade, and established in 1913. There are two campuses, the South Campus for preschool through 8th graders, and the North Campus, ",UNCLEAR
46,"The original song ""The Devil Went Down to Georgia"" was performed by the Charlie Daniels Band.",4793675,The Devil Went Down to Georgia,"seven weeks on the chart and peaked at number 60. In 1993, a sequel to the song, titled ""The Devil Comes Back to Georgia"", was recorded and released by Daniels and fiddle player Mark O'Connor, featuring guest performances by Travis Tritt (as the devil), Marty Stuart (as Johnny) and Johnny Cash as th",UNCLEAR
47,The New York Yankees achieved 125 wins in 1998.,2041801,Win–loss record (pitching),"pitching record of 12–10 indicates 12 wins and 10 losses. In the early years of Major League Baseball before 1900 it was common for an exceptional pitcher to win 30 or more games in one season with Old Hoss Radbourn of the defunct Providence Grays holding the record with 59 wins in 1884. Since 1900,",UNCLEAR
48,The video game How to Train Your Dragon 2 was released in June 2014.,17308048,How to Train Your Dragon: The Hidden World,"that ""How to Train Your Dragon 2"" is being intentionally designed as the second act of the trilogy: ""There are certain characters and situations that come into play in the second film that will become much more crucial to the story by the third."" DeBlois said in an interview that the third part will",UNCLEAR
49,Félix Hernández recorded a perfect game as a Yankee.,7319268,Sunday Night Baseball,"was the most recent pitcher to record a perfect game having done so two years earlier as a Yankee against the Montreal Expos. On June 16, 2002, ""Sunday Night Baseball"" covered a Subway Series at Shea Stadium in which Mo Vaughn hit a game winning three-run home run in the New York Mets' 3-2 win over ",UNCLEAR
50,The first voyage to circumnavigate the globe was later led by Juan Sebastián Elcano.,818128,Circumnavigation,"other side, would technically be a circumnavigation, but practical difficulties generally preclude such a voyage although it was successfully undertaken in the early 1980s by Ranulph Fiennes. The first single voyage of global circumnavigation was that of the ship ""Victoria"", between 1519 and 1522, k",SUPPORTED
51,The New England Patriots won the Super Bowl in 2003.,7071527,2005 Denver Broncos season,"final score of 23–7. The Broncos entered their third consecutive year in the playoffs with the momentum of a four-game winning streak. With a record of 13–3, they were tied with the Seattle Seahawks for second overall in the league, behind the 14–2 Indianapolis Colts. They were seeded number two in ",UNCLEAR
52,"The term ""cupboard love"" originates from Australia.",10259696,Cupboard love,that an infant will demonstrate characteristics perceived as affection and love towards the mother in order to be fed. Cupboard love is not to be confused with the term refrigerator mother. The refrigerator mother theory claimed that autism is caused by lack of maternal affection. This theory has be,UNCLEAR
53,"Based on these search results, tornadoes most commonly occur in the United States in the southern United States.",12201118,Tornadoes in the United States,"year. The state with the most tornadoes per unit area is Florida, though most are weak tornadoes of EF0 or EF1 intensity. A number of Florida's tornadoes occur along the edge of hurricanes that strike the state. The state with the highest number of strong tornadoes per unit area is Oklahoma. States ",SUPPORTED
54,Henry was named after Regina's late father.,16224750,True North (Once Upon a Time),"his life. Later, Emma shares Henry's theory with Mary Margaret (Ginnifer Goodwin), that she is Snow White's daughter and Mary Margaret is Snow White. Mary finds this laughable, but seeing Emma's blanket triggers some sort of reaction from her. After a minute, however, she is quick to dismiss it as n",UNCLEAR
55,The Civil Court of the City of New York has jurisdiction over foreclosure cases within the monetary limit.,18434525,New York County Court,"criminal matters appeals are to the Court of Appeals only by permission of a judge of the Court of Appeals. New York County Court The County Court of the State of New York is a New York State Unified Court System court of general jurisdiction outside New York City. In New York City, criminal and civ",SUPPORTED
56,It is possible that the documents do not provide the necessary information.,12008896,I'll See You Again,"I'll See You Again ""I'll See You Again"" is a song by the English songwriter Sir Noël Coward. It originated in Coward's 1929 operetta ""Bitter Sweet"", but soon became established as a standard in its own right and remains one of Coward's best-known compositions. He told how the waltz theme had suddenl",UNCLEAR
57,Bill Walton achieved leading the league in both rebounding and shot-blocking in the same season.,1881379,Hakeem Olajuwon,the league in blocks by averaging 4.6 per game. He is the only player since the NBA started recording blocked shots in 1973–74 to average 14+ rebounds and 4.5+ blocked shots per game in the same season. In doing so he joined Kareem Abdul-Jabbar and Bill Walton as the only players in NBA history (at ,UNCLEAR
58,Justin Hartley initially portrayed the character of Oliver Queen in the series Smallville.,13463463,Justice League (Smallville),"to the comic version, where half of Cyborg's visible body is covered in metal. According to Gough, Justin Hartley was the producers' first choice to play the role of Oliver Queen, and his alter ego Green Arrow. Oliver was designed to provide an alternative view for what it means to be a hero. At the",SUPPORTED
59,"The song ""I'm Coming Out"" was the second single from Ross' self-titled tenth album ""Diana"".",5753939,I'm Coming Out,"""I'm Coming Out"" and its resulting popularity has led to Ross's song often being sampled, most notably by Stevie J, who sampled the song for rapper The Notorious B.I.G.'s 1997 song ""Mo Money Mo Problems"". There's also been a cover by Marcia Hines. It was featured as a cover for the video game ""Karao",UNCLEAR
60,The search results only mention the production and broadcasting of season 1 in terms of the episodes that were planned and actually aired.,12828431,Sherlock (TV series),"have something of a journey too."" Paul McGuigan directed the first two episodes, and ""Doctor Who"" director Toby Haynes handled the last one. The second series of three 90-minute episodes was initially planned to air in late 2011, but was delayed until early January 2012. ""A Scandal in Belgravia"", wr",UNCLEAR
61,The movie Summer of '42 was directed by Robert Mulligan.,5876335,Ode to Billy Joe (film),"Gentry and her publisher a large percentage of the film’s receipts, and paid Herman Raucher $250,000 and a share of the profits to write the screenplay. Raucher was chosen to write the screenplay based on his script for ""Summer of '42"". Baer had intended to cast unknown actors int the lead roles of ",UNCLEAR
62,Coimbatore has a significant textile industry.,2459244,Meerut,"area (as of 2001) is with the cantonment covering . The city is one of the largest producers of sports goods, and the largest producer of musical instruments in India. The city is also an education hub in western Uttar Pradesh, and also known as the ""Sports City Of India"". The city is famous for bei",UNCLEAR
63,"The play ""Life and Beth"" takes place over the course of 24 hours.",13645077,Life and Beth,"on stage, although it is never made completely clear whether he is a real ghost or just a figment of Beth's imagination. The entire play takes place in the living room of what was Gordon and Beth's house, now very much Beth's house, also temporarily doubling up as her bedroom whilst guests are prese",SUPPORTED
64,Stephen King's Dark Tower series consists of eight books.,3387847,The Dark Tower (series),"codas and bad takes. The series has become a linchpin that ties together much of King's body of work. The worlds of ""The Dark Tower"" are in part composed of locations, characters, events and other various elements from many of King's novels and short stories. Some of the books that are tied to this ",SUPPORTED
65,"It is recommended to consult the official website of the Ministry of Environment, Forest and Climate Change in India if more information is needed.",17388070,Ministry of Environment and Forestry (Indonesia),"Stockholm, Sweden. Ministry of Environment and Forestry (Indonesia) The Ministry of Environment and Forestry () is the cabinet-level, government ministry in the Republic of Indonesia responsible for managing and conserving that nation's forests. The current Minister of Environment and Forestry is Si",UNCLEAR
66,The pediment is supported by the entablature.,637284,Ancient Greek architecture,"temple is the most common and best-known form of Greek public architecture. This rectilinear structure borrows from the Late Helladic, Mycenaean Megaron, which contained a central throne room, vestibule, and porch. The temple did not serve the same function as a modern church, since the altar stood ",UNCLEAR
67,A word or phrase is repeated with slight variations in this device.,9138742,Repetition (rhetorical device),"Repetition (rhetorical device) Repetition is the simple repeating of a word, within a short space of words (including in a poem), with no particular placement of the words to secure emphasis. It is a multilinguistic written or spoken device, frequently used in English and several other languages, an",UNCLEAR
68,The two nuns disabled the soldiers' cars.,7635617,The Sound of Music (film),"the cemetery crypt. Brownshirts soon arrive and search the abbey, and the family is discovered by Rolfe. Upon seeing Liesl, he hesitates raising the alarm long enough to allow the family time to flee, and the family is able to escape using the caretaker's car. When the soldiers attempt to pursue, th",SUPPORTED
69,Hugh Beaumont played the role of Ward Cleaver.,9542077,Beaver Cleaver,"regarding his misbehavior. ""Leave It to Beaver"" was created by the writers Joe Connelly and Bob Mosher, who found inspiration for dialogue and plot lines among their own children. The Beaver was based on Connelly's son Ricky. Theodore ""Beaver"" Cleaver was portrayed by Jerry Mathers in the pilot, ""It",UNCLEAR
70,Big Brother 20's HOH winner has not been mentioned in the provided search results.,19674083,Big Brother 19 (U.S.),"offer selected chosen players a secret temptation. A weekly opt-in competition, known as the Temptation Challenge, would give the winner immunity from the week's nomination but also put the last-place finisher on the block as a third nominee, able to compete in the weekly Veto Competition and avoid ",UNCLEAR
71,The material allows the shield to be virtually indestructible under normal conditions.,95073,Captain America,"which Captain America's 1950s imitator and Nuke are the most notorious examples. Captain America has used multiple shields throughout his history, the most prevalent of which is a nigh-indestructible disc-shaped shield made from an experimental alloy of steel and the fictional vibranium. The shield ",SUPPORTED
72,The song 'I'll Be Seeing You' has been recorded by Bing Crosby.,8745184,I'll Be Seeing You (song),"I'll Be Seeing You (song) ""I'll Be Seeing You"" is a popular song, with music by Sammy Fain and lyrics by Irving Kahal. Published in 1938, it was inserted into the Broadway musical ""Right This Way"", which closed after fifteen performances. The resemblance between the main tune's first four lines and ",SUPPORTED
73,The Minnehaha Academy is located in Minneapolis.,3452529,Minnehaha Park (Minneapolis),"Minnehaha Park (Minneapolis) Minnehaha Park is a city park in Minneapolis, Minnesota, United States, and home to Minnehaha Falls and the lower reaches of Minnehaha Creek. Minnehaha Park is part of the Minneapolis Park and Recreation Board which lies within the Mississippi National River and Recreati",UNCLEAR
74,"According to the records, Rod Laver holds the record for most Grand Slam wins in men's tennis.",1906218,Roger Federer,surpassing Pete Sampras's mark of fourteen. The Wimbledon final was also historic for being the longest Grand Slam final in terms of games played with Federer prevailing 16–14 in the fifth set. Federer finished the season as the year-end No. 1 for the fifth time in his career. Federer started the ye,REFUTED
75,The Audi R8 V10 engine produces 525 horsepower.,3717043,Audi R8,"RS4, but is modified to use a dry sump lubrication system. It uses two chain-driven double overhead camshafts (DOHC) per cylinder bank, and utilises variable valve timing for both inlet and exhaust camshafts. The 4 wheel drive system is biased towards the rear; it sends 30% of its power to the front",UNCLEAR
76,Winston is played by Paul Riley.,5035023,Peter Winston (chess player),"Peter Winston (chess player) Peter Jonathan Winston (born 1958) in New York City was an American chess player. He shared first prize in the 1974 U.S. Junior Chess Championship. Winston disappeared in mysterious circumstances in January 1978. His last published FIDE rating was 2220. In late 1977, Win",UNCLEAR
77,Document [3] does not provide information about when Galway last won the All-Ireland Hurling Championship.,6132893,Galway GAA,"Cork in the final of 1990, while the brilliance of the 1993 final defeat by Kilkenny is sometimes forgotten because of the drama that ensued in the following years. Galway clubs took three successive All Ireland titles in 1992–94 and Athenry three in 1997, 2000 and 2001. For the 2009 Hurling Champio",UNCLEAR
78,The capital of Virginia was moved from Williamsburg to Richmond in 1780.,6327822,"Capitol (Williamsburg, Virginia)","when the Virginia General Assembly adjourned to reconvene in 1780 at the new capital, Richmond. After the capital of Virginia was moved to Richmond in 1779, the old Capitol was used for a wide range of purposes, from a court to a school. The east wing was removed around 1800 because of its dangerous",REFUTED
79,Harry Potter and the Sorcerer's Stone became a critical success.,20238725,Wizarding World,"Warner Bros. had initially planned to release the film over 4 July 2001 weekend, making for such a short production window that several proposed directors removed themselves from consideration. Because of time constraints, the date was put back, and ""Harry Potter and the Philosopher's Stone"" was rel",UNCLEAR
80,"The song ""I'm Not Gonna Miss You"" was performed by Tim McGraw during the 87th Academy Awards ceremony.",18606535,I'm Not Gonna Miss You,"part of the soundtrack for """" which premiered on October 24, 2014. I'm Not Gonna Miss You ""I'm Not Gonna Miss You"" is a song recorded by American country music artist Glen Campbell and The Wrecking Crew. Co-written by Campbell and producer Julian Raymond, the song was released on September 30, 2014 ",UNCLEAR
81,The heroine in the Hindi film Ramaiya Vastavaiya is Shruti Haasan.,17032644,Ramayya Vasthavayya,"Ramayya Vasthavayya Ramayya Vasthavayya (English: ""Rama, will you come here?"") is a 2013 Telugu action masala film written & directed by Harish Shankar. It was produced by Dil Raju and featured N. T. Rama Rao Jr., Samantha Ruth Prabhu and Shruti Haasan in the lead roles. The soundtrack was composed ",UNCLEAR
82,They spent 342 days in space.,3029646,Scott Kelly (astronaut),"launch in February 2011, which would have made the Kelly brothers the first twins to fly together in space. Following a Russian announcement to have a cosmonaut remain on the ISS for one year, NASA began planning for a similar year-long mission. The primary goal of the year-long expedition aboard th",UNCLEAR
83,"The biography ""A Beautiful Mind"" was also adapted into a film.",981372,John Forbes Nash Jr.,"shared the Abel Prize with Louis Nirenberg for his work on nonlinear partial differential equations. John Nash is the only person to be awarded both the Nobel Memorial Prize in Economic Sciences and the Abel Prize. In 1959, Nash began showing clear signs of mental illness, and spent several years at",SUPPORTED
84,The Brisbane Broncos' last premiership win is mentioned in [3].,60451,Brisbane Broncos,"to the Cowboys and Johnathan Thurston kicked a field goal 2 minutes into the Golden Point period to win the match for the North Queensland Cowboys 17-16. , the Broncos are currently experiencing their longest premiership drought, having endured twelve completed seasons without winning the premiershi",REFUTED
85,Nkosazana Dlamini-Zuma is the first female head of the African Union Commission.,10054455,African Union,"Government was also discussed. In January 2008, President Jakaya Kikwete of Tanzania took over as chair, representing the East African region and thus apparently ending Sudan's attempt to become chair—at least till the rotation returns to East Africa. The current chair is Benin The main administrati",UNCLEAR
86,The Phantom's wish to marry Christine is before he realizes he cannot compel her to love him.,8481449,Erik (The Phantom of the Opera),"is able to convey to her the misery he has endured throughout his life and the hope he finally felt for love. Upon its completion, Erik originally plans to go to his bed (which is a coffin) and ""never wake up"", but by the final chapters of the novel, during which Erik kidnaps Christine right from th",UNCLEAR
87,The Gram stain distinguishes between gram-positive and gram-negative bacteria.,845971,Hans Christian Gram,"he developed a method for distinguishing between two major classes of bacteria. This technique, the Gram stain, continues to be a standard procedure in medical microbiology. In 1891, Gram taught pharmacology, and later that year was appointed professor at the University of Copenhagen. In 1900, he re",UNCLEAR
