row_id,example_id,model,question,answer,matched_sentence,extracted_claim,correct,notes
39,348,openrouter/google/gemma-4-26b-a4b-it,Who is the actor that plays green arrow?,"The actor who plays the role of Green Arrow is Stephen Amell [2][3]. He has portrayed the character in the live-action TV series ""Arrow"", which debuted on The CW in 2012 [3].",The actor who plays the role of Green Arrow is Stephen Amell [2][3]. ,Stephen Amell plays the role of Green Arrow.,1,
40,71,openrouter/google/gemma-4-26b-a4b-it,Where is the minnehaha academy located in minneapolis?,"Minnehaha Academy is located in the Cooper and Hiawatha neighborhoods on West River Parkway in Minneapolis, Minnesota [1]. There are two campuses: the South Campus for preschool through 8th graders, located at the original location, and the North Campus, for 9th through 12th graders, also located in the Cooper and Hiawatha neighborhoods [1].","There are two campuses: the South Campus for preschool through 8th graders, located at the original location, and the North Campus, for 9th through 12th graders, also located in the Cooper and Hiawatha neighborhoods [1].",The North Campus serves 9th through 12th graders.,1,not selfcomplete
41,754,openrouter/google/gemma-4-26b-a4b-it,Who is won the most super bowl games?,"The Pittsburgh Steelers have the most Super Bowl championship titles, with six [1], however the question asks who won the most super bowl games which is different from the most super bowl titles. The answer would be the New England Patriots have appeared in the most Super Bowl games with 11, but the most Superbowl wins by a head coach is not among the given options; the given options do not contain the most frequent Superbowl game winner who is also not among the top Superbowl winners.","The Pittsburgh Steelers have the most Super Bowl championship titles, with six [1], however the question asks who won the most super bowl games which is different from the most super bowl titles. ",Winning the most Super Bowl games is different from having the most Super Bowl titles.,1,
42,25,openrouter/google/gemma-4-26b-a4b-it,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].","It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",The album 'Diana' was released in 1980.,1,
43,94,openrouter/google/gemma-4-26b-a4b-it,Who developed a useful staining method to identify bacteria?,"Hans Christian Gram developed a useful staining method to identify bacteria, known as the Gram stain, in 1884 [1], [2], [3], [4]. This technique, which characterizes bacteria based on the structural characteristics of their cell walls, has become a standard procedure in medical microbiology [1], [2], and has played a major role in classifying bacteria [2].","Hans Christian Gram developed a useful staining method to identify bacteria, known as the Gram stain, in 1884 [1], [2], [3], [4]. ",The staining method is known as the Gram stain.,1,
44,574,openrouter/google/gemma-4-26b-a4b-it,When did india win the cricket world cup?,India won the Cricket World Cup twice: in 1983 under the captaincy of Kapil Dev [1] and in 2011 under the captaincy of Mahendra Singh Dhoni [1] and [5].,India won the Cricket World Cup twice: in 1983 under the captaincy of Kapil Dev [1] and in 2011 under the captaincy of Mahendra Singh Dhoni [1] and [5].,Mahendra Singh Dhoni was the captain in 2011.,1,not selfcomplete
45,854,openrouter/google/gemma-4-26b-a4b-it,Who has the most wins in a major league baseball season?,"The team with the most wins in a major league baseball season was the 1998 New York Yankees, who finished with a record of 125 wins (regular season and playoffs combined) [3].","The team with the most wins in a major league baseball season was the 1998 New York Yankees, who finished with a record of 125 wins (regular season and playoffs combined) [3].",The 1998 New York Yankees had the most wins in a major league baseball season.,1,
46,6,openrouter/google/gemma-4-26b-a4b-it,Who killed the man in thelma and louise?,"Unfortunately, none of the provided search results directly answer the question ""Who killed the man in Thelma and Louise?"" as there is no mention of the characters or a plot related to Thelma and Louise in the provided documents.","Unfortunately, none of the provided search results directly answer the question ""Who killed the man in Thelma and Louise?"" as there is no mention of the characters or a plot related to Thelma and Louise in the provided documents.",The provided documents do not mention the characters from Thelma and Louise.,1,
47,828,openrouter/google/gemma-4-26b-a4b-it,Where does winston moved to in still game?,"There is no information about Winston moving to a new location in the provided documents. However, if we assume that the question refers to a character from the TV show ""Still Game"", Winston Irvine, the answer would be Possilpark, Glasgow, Scotland, as mentioned in Document [1], where Winston buys several electric heaters.","However, if we assume that the question refers to a character from the TV show ""Still Game"", Winston Irvine, the answer would be Possilpark, Glasgow, Scotland, as mentioned in Document [1], where Winston buys several electric heaters.",Glasgow is in Scotland.,1,
48,714,openrouter/google/gemma-4-26b-a4b-it,Where do tornadoes most commonly occur in the us?,"Tornadoes most commonly occur in the United States east of the Rocky Mountains, particularly in the Great Plains, the Midwest, the Mississippi Valley, and the southern United States [1]. These regions are often referred to as ""Tornado Alley"" and include states such as Oklahoma, Kansas, and Texas, which have the highest number of tornadoes and the highest number of strong tornadoes per unit area [3][4].","Tornadoes most commonly occur in the United States east of the Rocky Mountains, particularly in the Great Plains, the Midwest, the Mississippi Valley, and the southern United States [1]. ",Tornadoes occur particularly in the Great Plains.,1,
49,432,openrouter/google/gemma-4-26b-a4b-it,What's the famous street in new orleans?,"The famous street in New Orleans is Bourbon Street [1], known for its many bars and strip clubs, as well as its rich history and cultural significance. Stretching 13 blocks from Canal to Esplanade Avenue, Bourbon Street is a main tourist attraction, welcoming 17.74 million visitors in 2017 alone.","Stretching 13 blocks from Canal to Esplanade Avenue, Bourbon Street is a main tourist attraction, welcoming 17.74 million visitors in 2017 alone.",Bourbon Street welcomed 17.74 million visitors in 2017.,1,
50,296,openrouter/google/gemma-4-26b-a4b-it,Who was the programmer of ms-dos operating system?,"The programmer of the MS-DOS operating system was Tim Paterson, who created 86-DOS, a system that later formed the basis of MS-DOS [1]. Paterson's 86-DOS was initially developed as a variant of CP/M-80, and was intended as an internal product for testing Seattle Computer Products' new 16-bit Intel 8086 CPU card [4].","The programmer of the MS-DOS operating system was Tim Paterson, who created 86-DOS, a system that later formed the basis of MS-DOS [1]. ",86-DOS formed the basis of MS-DOS.,1,
51,432,openrouter/google/gemma-4-26b-a4b-it,What's the famous street in new orleans?,"The famous street in New Orleans is Bourbon Street [1], known for its many bars and strip clubs, as well as its rich history and cultural significance. Stretching 13 blocks from Canal to Esplanade Avenue, Bourbon Street is a main tourist attraction, welcoming 17.74 million visitors in 2017 alone.","The famous street in New Orleans is Bourbon Street [1], known for its many bars and strip clubs, as well as its rich history and cultural significance. ",The famous street in New Orleans is Bourbon Street.,1,
